122,122,843,122,122,843,122,122,843,-1
122,288,968,122,288,968,122,288,968,1
288,122,852,288,122,852,288,122,852,1
122,156,972,122,156,972,122,156,972,1
156,128,820,156,128,820,156,128,820,1
128,123,828,128,123,828,128,123,828,1
123,282,960,123,282,960,123,282,960,1
282,125,852,282,125,852,282,125,852,1
125,300,981,125,300,981,125,300,981,1
300,123,852,300,123,852,300,123,852,1
123,290,966,123,290,966,123,290,966,1
290,126,832,290,126,832,290,126,832,1
126,152,950,126,152,950,126,152,950,1
152,151,828,152,151,828,152,151,828,1
151,122,846,151,122,846,151,122,846,1
122,172,977,122,172,977,122,172,977,1
172,133,832,172,133,832,172,133,832,1
133,125,838,133,125,838,133,125,838,1
125,169,963,125,169,963,125,169,963,1
169,132,837,169,132,837,169,132,837,1
132,429,864,132,429,864,132,429,864,1
429,193,867,429,193,867,429,193,867,1
193,230,861,193,230,861,193,230,861,1
230,245,860,230,245,860,230,245,860,1
245,173,827,245,173,827,245,173,827,1
173,123,855,173,123,855,173,123,855,1
123,316,972,123,316,972,123,316,972,1
316,128,854,316,128,854,316,128,854,1
128,299,977,128,299,977,128,299,977,1
299,124,850,299,124,850,299,124,850,1
124,309,979,124,309,979,124,309,979,1
309,130,878,309,130,878,309,130,878,1
130,132,983,130,132,983,130,132,983,1
132,188,856,132,188,856,132,188,856,1
188,126,850,188,126,850,188,126,850,1
126,308,980,126,308,980,126,308,980,1
308,124,859,308,124,859,308,124,859,1
124,178,990,124,178,990,124,178,990,1
178,146,858,178,146,858,178,146,858,1
146,123,858,146,123,858,146,123,858,1
123,310,975,123,310,975,123,310,975,1
310,128,853,310,128,853,310,128,853,1
128,329,965,128,329,965,128,329,965,1
329,203,875,329,203,875,329,203,875,1
203,237,852,203,237,852,203,237,852,1
237,123,858,237,123,858,237,123,858,1
123,325,979,123,325,979,123,325,979,1
325,127,879,325,127,879,325,127,879,1
127,313,973,127,313,973,127,313,973,1
313,121,859,313,121,859,313,121,859,1
121,310,974,121,310,974,121,310,974,1
310,124,872,310,124,872,310,124,872,1
124,316,986,124,316,986,124,316,986,1
316,126,865,316,126,865,316,126,865,1
126,136,958,126,136,958,126,136,958,1
136,146,837,136,146,837,136,146,837,1
146,129,843,146,129,843,146,129,843,1
129,150,963,129,150,963,129,150,963,1
150,141,828,150,141,828,150,141,828,1
141,125,854,141,125,854,141,125,854,1
125,285,959,125,285,959,125,285,959,1
285,128,840,285,128,840,285,128,840,1
128,293,969,128,293,969,128,293,969,1
293,126,843,293,126,843,293,126,843,1
126,318,982,126,318,982,126,318,982,1
318,441,862,318,441,862,318,441,862,1
441,201,861,441,201,861,441,201,861,1
201,237,878,201,237,878,201,237,878,1
237,124,867,237,124,867,237,124,867,1
124,192,992,124,192,992,124,192,992,1
192,135,857,192,135,857,192,135,857,1
135,127,862,135,127,862,135,127,862,1
127,129,974,127,129,974,127,129,974,1
129,180,847,129,180,847,129,180,847,1
180,125,875,180,125,875,180,125,875,1
125,192,990,125,192,990,125,192,990,1
192,136,856,192,136,856,192,136,856,1
136,129,865,136,129,865,136,129,865,1
129,305,977,129,305,977,129,305,977,1
305,126,846,305,126,846,305,126,846,1
126,314,976,126,314,976,126,314,976,1
314,128,863,314,128,863,314,128,863,1
128,307,969,128,307,969,128,307,969,1
307,127,834,307,127,834,307,127,834,1
127,121,962,127,121,962,127,121,962,1
121,183,832,121,183,832,121,183,832,1
183,127,854,183,127,854,183,127,854,1
127,314,970,127,314,970,127,314,970,1
314,123,842,314,123,842,314,123,842,1
123,141,969,123,141,969,123,141,969,1
141,164,833,141,164,833,141,164,833,1
164,126,841,164,126,841,164,126,841,1
126,149,968,126,149,968,126,149,968,1
149,166,845,149,166,845,149,166,845,1
166,125,853,166,125,853,166,125,853,1
125,152,977,125,152,977,125,152,977,1
152,177,847,152,177,847,152,177,847,1
177,121,851,177,121,851,177,121,851,1
121,141,979,121,141,979,121,141,979,1
141,167,838,141,167,838,141,167,838,1
167,124,858,167,124,858,167,124,858,1
124,177,988,124,177,988,124,177,988,1
177,149,846,177,149,846,177,149,846,1
149,126,844,149,126,844,149,126,844,1
126,164,973,126,164,973,126,164,973,1
164,152,826,164,152,826,164,152,826,1
152,129,855,152,129,855,152,129,855,1
129,312,978,129,312,978,129,312,978,1
